CAR_OWN,DRIVER,DRVRCNT,CENSUS_R_1,EDUC_1,EDUC_2,HBHTNRNT_NEW,HBRESDN,HBHUR_C,HBHUR_R,HBPPOPDN,HHFAMINC_NEW,HHSIZE,HH_RACE_WHITE,HH_RACE_BLACK,HOMEOWN_OWN,HTEEMPDN,ADULT_NO_CHI,ADULT_CHI_15,ADULT_CHI_21,MSACAT_1,PRMACT_UNEMP,PRMACT_RETIRED,PRMACT_SCHOOL,R_SEX_IMP_NEW,URBAN_1,URBANSIZE_NEW,WRKCOUNT,CONDNIGH_NEW,CONDPUB_NEW,CONDRIDE_NEW,CONDRIVE_NEW,CONDSPEC_NEW,CONDTAX_NEW,CONDTRAV_NEW,HEALTH,MEDCOND_NEW,OCCAT_MANU,PTUSED,SCHTYP_PUBLIC,WKFTPT_FULL,BUS_HIGH,CAR_HIGH,PARA_HIGH,PC_HIGH,PTRANS_AGREE,SPHONE_HIGH,TAB_HIGH,TAXI_HIGH,WALK_HIGH,WALK2SAVE_AGREE
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.0984974958263773,0.693877551020408,0.08333333333333333,1.0,0.0,1.0,0.2964824120603015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.2931937172774869,0.048414023372287146,1.0,0.0,0.0984974958263773,0.693877551020408,0.08333333333333333,1.0,0.0,1.0,0.2964824120603015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,1.0,0.8167539267015707,0.0984974958263773,0.0,0.0,0.0984974958263773,0.15306122448979592,0.0,1.0,0.0,0.0,0.2964824120603015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0625,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.0,0.0,1.0,0.0,0.43877551020408156,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1.0,0.2222222222222222,1.0,0.0,0.0,0.2931937172774869,0.0,0.0,1.0,0.0,0.33673469387755095,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1.0,0.2222222222222222,0.0,0.0,0.0,0.18848167539267016,0.02337228714524207,0.0,0.0,0.0984974958263773,0.33673469387755095,0.3333333333333333,0.0,1.0,1.0,0.2964824120603015,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.0,0.1111111111111111,0.0,0.0,0.0,0.7120418848167539,0.02337228714524207,0.0,0.0,0.048414023372287146,0.061224489795918366,0.08333333333333333,0.0,1.0,0.0,0.2964824120603015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,0.020833333333333332,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,1.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.2320534223706177,0.061224489795918366,0.16666666666666669,1.0,0.0,1.0,0.5979899497487438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.2931937172774869,0.008347245409015026,0.0,1.0,0.008347245409015026,0.33673469387755095,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.0984974958263773,0.43877551020408156,0.4166666666666667,1.0,0.0,1.0,0.5979899497487438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,1.0,0.18848167539267016,0.0,0.0,1.0,0.0,0.23469387755102042,0.08333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,1.0,0.3333333333333333,0.0,0.0,0.0,0.08376963350785341,0.0984974958263773,0.0,0.0,0.2320534223706177,0.061224489795918366,0.16666666666666669,1.0,0.0,1.0,0.5979899497487438,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1875,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,1.0,0.0,0.0,0.08376963350785341,0.0984974958263773,0.0,0.0,0.2320534223706177,0.43877551020408156,0.16666666666666669,0.0,1.0,1.0,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,1.0,0.2931937172774869,0.008347245409015026,0.0,0.0,0.008347245409015026,0.03061224489795918,0.0,1.0,0.0,0.0,0.010050251256281409,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.008347245409015026,0.0,0.0,0.02337228714524207,0.43877551020408156,0.08333333333333333,1.0,0.0,1.0,0.02512562814070352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2,1.0,0.2222222222222222,1.0,0.0,1.0,0.18848167539267016,0.2320534223706177,0.0,0.0,0.5659432387312188,0.10204081632653061,0.08333333333333333,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,0.0,0.08376963350785341,0.008347245409015026,0.0,0.0,0.02337228714524207,0.23469387755102042,0.0,1.0,0.0,1.0,0.06532663316582915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.3333333333333333,0.0,0.0,0.0,0.5026178010471204,0.008347245409015026,0.0,0.0,0.02337228714524207,0.33673469387755095,0.16666666666666669,1.0,0.0,1.0,0.14572864321608042,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.39790575916230364,0.048414023372287146,1.0,0.0,0.0984974958263773,0.693877551020408,0.08333333333333333,1.0,0.0,1.0,0.14572864321608042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,1.0,0.7777777777777777,0.0,1.0,0.0,0.08376963350785341,0.0,0.0,1.0,0.008347245409015026,0.15306122448979592,0.5833333333333333,1.0,0.0,1.0,0.010050251256281409,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,1.0,0.18848167539267016,0.048414023372287146,0.0,0.0,0.0984974958263773,0.061224489795918366,0.08333333333333333,0.0,1.0,0.0,0.2964824120603015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,1.0,0.39790575916230364,0.048414023372287146,1.0,0.0,0.0984974958263773,0.33673469387755095,0.08333333333333333,1.0,0.0,1.0,0.06532663316582915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
2,1.0,0.2222222222222222,1.0,0.0,0.0,0.08376963350785341,0.0,0.0,1.0,0.0,0.10204081632653061,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,0.0,0.7120418848167539,0.0984974958263773,1.0,0.0,0.0984974958263773,0.693877551020408,0.0,1.0,0.0,1.0,0.2964824120603015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1.0,0.4444444444444444,1.0,0.0,0.0,0.18848167539267016,0.008347245409015026,0.0,0.0,0.008347245409015026,0.43877551020408156,0.25,1.0,0.0,1.0,0.06532663316582915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0625,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1.0,0.4444444444444444,0.0,0.0,0.0,0.18848167539267016,0.0,0.0,1.0,0.0,0.23469387755102042,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,1.0,0.3333333333333333,0.0,0.0,0.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.2320534223706177,1.0,0.16666666666666669,1.0,0.0,1.0,0.5979899497487438,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.02337228714524207,0.0,0.0,0.0984974958263773,1.0,0.3333333333333333,1.0,0.0,1.0,0.2964824120603015,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1875,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5,1.0,0.5555555555555556,0.0,0.0,0.0,0.08376963350785341,0.0984974958263773,0.0,0.0,0.2320534223706177,0.693877551020408,0.3333333333333333,1.0,0.0,1.0,0.5979899497487438,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2,1.0,0.2222222222222222,0.0,0.0,0.0,0.2931937172774869,0.048414023372287146,0.0,0.0,0.0984974958263773,0.15306122448979592,0.08333333333333333,1.0,0.0,1.0,0.14572864321608042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0625,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2,1.0,0.2222222222222222,0.0,0.0,0.0,0.5026178010471204,0.048414023372287146,0.0,0.0,0.0984974958263773,0.43877551020408156,0.16666666666666669,1.0,0.0,1.0,0.5979899497487438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0625,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
3,1.0,0.1111111111111111,1.0,0.0,0.0,0.08376963350785341,0.008347245409015026,0.0,0.0,0.048414023372287146,0.23469387755102042,0.0,1.0,0.0,1.0,0.14572864321608042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.004166666666666667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,1.0,0.5026178010471204,0.0984974958263773,1.0,0.0,0.2320534223706177,0.43877551020408156,0.25,1.0,0.0,1.0,0.5979899497487438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.0984974958263773,0.33673469387755095,0.25,1.0,0.0,1.0,0.2964824120603015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,1.0,0.18848167539267016,0.0,0.0,1.0,0.0,0.10204081632653061,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.02337228714524207,0.0,0.0,0.048414023372287146,1.0,0.08333333333333333,1.0,0.0,1.0,0.14572864321608042,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.0,0.0,1.0,0.0,1.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,1.0,0.39790575916230364,0.048414023372287146,1.0,0.0,0.2320534223706177,0.23469387755102042,0.08333333333333333,1.0,0.0,1.0,0.5979899497487438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.0,0.0,1.0,0.0,0.10204081632653061,0.08333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,1.0,0.18848167539267016,0.008347245409015026,0.0,0.0,0.048414023372287146,0.15306122448979592,0.08333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.02337228714524207,0.0,0.0,0.0984974958263773,0.33673469387755095,0.08333333333333333,1.0,0.0,1.0,0.2964824120603015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
4,1.0,0.2222222222222222,0.0,0.0,1.0,0.08376963350785341,0.008347245409015026,0.0,0.0,0.008347245409015026,0.693877551020408,0.08333333333333333,0.0,1.0,1.0,0.06532663316582915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1875,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,1.0,0.0,1.0,0.18848167539267016,0.0,0.0,1.0,0.0,0.061224489795918366,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.3333333333333333,0.0,0.0,0.0,0.6073298429319371,0.048414023372287146,0.0,0.0,0.0984974958263773,0.5408163265306122,0.4166666666666667,1.0,0.0,1.0,0.2964824120603015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.2222222222222222,1.0,0.0,0.0,0.6073298429319371,0.2320534223706177,0.0,0.0,0.5659432387312188,0.23469387755102042,0.08333333333333333,1.0,0.0,0.0,0.5979899497487438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
5,1.0,0.2222222222222222,0.0,0.0,1.0,0.18848167539267016,0.0,0.0,1.0,0.0,0.10204081632653061,0.08333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3,1.0,0.2222222222222222,0.0,1.0,0.0,0.2931937172774869,0.0,0.0,1.0,0.008347245409015026,0.15306122448979592,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.2931937172774869,0.008347245409015026,0.0,0.0,0.02337228714524207,0.10204081632653061,0.08333333333333333,1.0,0.0,1.0,0.06532663316582915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.39790575916230364,0.0984974958263773,0.0,0.0,0.2320534223706177,0.23469387755102042,0.25,0.0,0.0,1.0,0.5979899497487438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.9214659685863875,1.0,0.0,0.0,1.0,0.693877551020408,0.08333333333333333,0.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,0.0,0.2931937172774869,0.048414023372287146,0.0,0.0,0.0984974958263773,0.5408163265306122,0.08333333333333333,1.0,0.0,1.0,0.5979899497487438,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2,1.0,0.1111111111111111,0.0,0.0,0.0,0.08376963350785341,0.048414023372287146,0.0,0.0,0.0984974958263773,0.061224489795918366,0.0,1.0,0.0,1.0,0.2964824120603015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.5555555555555556,0.0,0.0,0.0,0.18848167539267016,0.048414023372287146,1.0,0.0,0.2320534223706177,0.33673469387755095,0.4166666666666667,1.0,0.0,1.0,0.2964824120603015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.8167539267015707,0.2320534223706177,1.0,0.0,0.5659432387312188,0.23469387755102042,0.08333333333333333,0.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.7120418848167539,0.008347245409015026,0.0,0.0,0.008347245409015026,0.33673469387755095,0.25,0.0,1.0,1.0,0.14572864321608042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4,1.0,0.2222222222222222,0.0,0.0,0.0,0.6073298429319371,0.048414023372287146,0.0,0.0,0.0984974958263773,0.693877551020408,0.08333333333333333,1.0,0.0,1.0,0.2964824120603015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.14285714285714285,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.2222222222222222,0.0,0.0,0.0,0.08376963350785341,0.02337228714524207,0.0,0.0,0.0984974958263773,0.23469387755102042,0.25,0.0,0.0,1.0,0.2964824120603015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
